tis,all,eup,name,gtex
杏仁核,129,119,Amygdala,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Amygdala.v8.EUR.sqtl_allpairs.chr
前扣带回,147,135,Anterior cingulate cortex,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Anterior_cingulate_cortex_BA24.v8.EUR.sqtl_allpairs.chr
尾状核,194,172,Caudate (basal ganglia),GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Caudate_basal_ganglia.v8.EUR.sqtl_allpairs.chr
大脑半球,175,157,Cerebellar hemisphere,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Cerebellar_Hemisphere.v8.EUR.sqtl_allpairs.chr
小脑,209,188,Cerebellum,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Cerebellum.v8.EUR.sqtl_allpairs.chr
大脑皮层,205,183,Cortex,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Cortex.v8.EUR.sqtl_allpairs.chr
额叶皮层,175,157,Frontal Cortex,
海马体,165,150,Hippocampus,
下丘脑,170,156,Hypothalamus,
伏隔核,202,181,Nucleus accumbens (basal ganglia),
壳核,170,153,Putamen (basal ganglia),GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Putamen_basal_ganglia.v8.EUR.sqtl_allpairs.chr
脊髓,126,115,Spinal cord (cervical c-1),
黑质,114,100,Substantia nigra,
垂体,237,219,Pituitary,GTEx_Analysis_v8_QTLs_GTEx_Analysis_v8_EUR_sQTL_all_associations_Brain_Substantia_nigra.v8.EUR.sqtl_allpairs.chr
